Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 11:01:00-05:00,112.19,112.19,112.19,112.19,0.0,0.0,0
2019-12-17 11:58:00-05:00,112.05,112.09,112.05,112.05,1072.0,0.0,0
2019-12-17 13:03:00-05:00,112.01,112.01,112.01,112.01,104.0,0.0,0
2019-12-17 14:00:00-05:00,112.08,112.08,112.08,112.08,264.0,0.0,0
2019-12-17 15:59:00-05:00,112.14,112.14,112.14,112.14,266.0,0.0,0
2019-12-18 10:11:00-05:00,112.33,112.33,112.33,112.33,0.0,0.0,0
2019-12-18 12:54:00-05:00,112.98,112.98,112.98,112.98,150.0,0.0,0
2019-12-18 13:27:00-05:00,112.87,112.87,112.87,112.87,160.0,0.0,0
2019-12-18 14:27:00-05:00,112.85,112.85,112.85,112.85,394.0,0.0,0
2019-12-18 14:35:00-05:00,112.92,112.92,112.92,112.92,260.0,0.0,0
2019-12-18 15:12:00-05:00,112.75,112.75,112.73,112.73,200.0,0.0,0
2019-12-18 15:14:00-05:00,112.72,112.72,112.72,112.72,100.0,0.0,0
2019-12-18 15:31:00-05:00,112.62,112.62,112.6,112.6,380.0,0.0,0
2019-12-18 15:48:00-05:00,112.61,112.61,112.61,112.61,100.0,0.0,0
2019-12-18 15:49:00-05:00,112.62,112.62,112.61,112.61,1000.0,0.0,0
2019-12-18 15:54:00-05:00,112.58,112.6,112.58,112.6,3055.0,0.0,0
2019-12-19 12:27:00-05:00,113.32,113.32,113.32,113.32,485.0,0.0,0
2019-12-19 13:50:00-05:00,113.26,113.3,113.26,113.3,225.0,0.0,0
2019-12-19 13:53:00-05:00,113.34,113.34,113.34,113.34,110.0,0.0,0
2019-12-19 14:00:00-05:00,113.3,113.3,113.3,113.3,100.0,0.0,0
2019-12-19 14:04:00-05:00,113.31,113.31,113.31,113.31,150.0,0.0,0
2019-12-19 14:21:00-05:00,113.21,113.21,113.21,113.21,170.0,0.0,0
2019-12-19 15:02:00-05:00,113.21,113.21,113.21,113.21,106.0,0.0,0
2019-12-19 15:40:00-05:00,113.25,113.25,113.25,113.25,248.0,0.0,0
2019-12-19 15:44:00-05:00,113.25,113.25,113.25,113.25,120.0,0.0,0
2019-12-19 15:46:00-05:00,113.28,113.28,113.28,113.28,125.0,0.0,0
2019-12-19 15:50:00-05:00,113.24,113.24,113.22,113.22,265.0,0.0,0
2019-12-19 15:51:00-05:00,113.25,113.25,113.25,113.25,195.0,0.0,0
2019-12-19 15:54:00-05:00,113.23,113.3,113.23,113.3,2644.0,0.0,0
2019-12-20 09:33:00-05:00,113.7,113.7,113.7,113.7,0.0,0.0,0
2019-12-20 09:35:00-05:00,113.97,113.97,113.97,113.97,1000.0,0.0,0
2019-12-20 09:36:00-05:00,114.13,114.13,114.13,114.13,579.0,0.0,0
2019-12-20 10:38:00-05:00,113.8,113.8,113.8,113.8,378.0,0.0,0
2019-12-20 13:12:00-05:00,113.74,113.74,113.74,113.74,189.0,0.0,0
2019-12-20 13:13:00-05:00,113.79,113.79,113.79,113.79,210.0,0.0,0
2019-12-20 13:26:00-05:00,113.76,113.76,113.76,113.76,150.0,0.0,0
2019-12-20 13:28:00-05:00,113.79,113.79,113.79,113.79,100.0,0.0,0
2019-12-20 13:30:00-05:00,113.79,113.79,113.79,113.79,200.0,0.0,0
2019-12-20 13:32:00-05:00,113.78,113.78,113.78,113.78,250.0,0.0,0
2019-12-20 13:34:00-05:00,113.78,113.78,113.78,113.78,120.0,0.0,0
2019-12-20 13:36:00-05:00,113.8,113.81,113.79,113.79,600.0,0.0,0
2019-12-20 13:39:00-05:00,113.83,113.83,113.8,113.8,337.0,0.0,0
2019-12-20 13:41:00-05:00,113.83,113.83,113.82,113.82,250.0,0.0,0
2019-12-20 13:43:00-05:00,113.83,113.83,113.83,113.83,400.0,0.0,0
2019-12-20 13:47:00-05:00,113.84,113.84,113.82,113.82,400.0,0.0,0
2019-12-20 13:50:00-05:00,113.89,113.89,113.89,113.89,300.0,0.0,0
2019-12-20 13:51:00-05:00,113.87,113.87,113.85,113.85,476.0,0.0,0
2019-12-20 14:48:00-05:00,113.85,113.85,113.85,113.85,131.0,0.0,0
2019-12-20 15:21:00-05:00,113.74,113.76,113.74,113.75,1000.0,0.0,0
2019-12-20 15:50:00-05:00,113.71,113.81,113.71,113.81,193.0,0.0,0
2019-12-23 09:30:00-05:00,,,,,,0.16,0
2019-12-23 10:49:00-05:00,113.69,113.69,113.69,113.69,100.0,0.0,0
2019-12-23 11:04:00-05:00,114.03,114.03,114.03,114.03,113.0,0.0,0
2019-12-23 11:40:00-05:00,114.14,114.14,114.13,114.13,400.0,0.0,0
2019-12-23 11:41:00-05:00,114.14,114.14,113.92,114.14,1194.0,0.0,0
2019-12-24 09:44:00-05:00,113.92,113.92,113.92,113.92,0.0,0.0,0
