Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-12-17 09:04:00+01:00,72.16,72.16,72.16,72.16,0,0,0
2019-12-17 13:12:00+01:00,71.74,71.74,71.74,71.74,0,0,0
2019-12-18 09:04:00+01:00,71.42,71.42,71.42,71.42,0,0,0
2019-12-18 13:12:00+01:00,71.55,71.55,71.55,71.55,0,0,0
2019-12-19 09:04:00+01:00,71.44,71.44,71.44,71.44,0,0,0
2019-12-19 13:12:00+01:00,71.13,71.13,71.13,71.13,0,0,0
2019-12-20 09:04:00+01:00,70.82,70.82,70.82,70.82,0,0,0
2019-12-20 13:12:00+01:00,70.95,70.95,70.95,70.95,0,0,0
2019-12-23 09:04:00+01:00,71.47,71.47,71.47,71.47,0,0,0
2019-12-23 13:12:00+01:00,71.21,71.21,71.21,71.21,0,0,0
2019-12-27 09:04:00+01:00,70.99,70.99,70.99,70.99,0,0,0
2019-12-27 13:12:00+01:00,71.33,71.33,71.33,71.33,0,0,0
2019-12-30 09:04:00+01:00,71.02,71.02,71.02,71.02,0,0,0
2019-12-30 12:08:00+01:00,70.68,70.68,70.68,70.68,700,0,0
2019-12-30 13:12:00+01:00,70.71,70.71,70.71,70.71,0,0,0
2019-12-30 14:06:00+01:00,70.74,70.74,70.74,70.74,0,0,0
2020-01-02 09:04:00+01:00,70.66,70.66,70.66,70.66,0,0,0
2020-01-02 13:12:00+01:00,71.07,71.07,71.07,71.07,0,0,0
2020-01-03 09:04:00+01:00,71.5,71.5,71.5,71.5,0,0,0
2020-01-03 13:12:00+01:00,71.81,71.81,71.81,71.81,0,0,0
2020-01-06 09:04:00+01:00,71.67,71.67,71.67,71.67,0,0,0
2020-01-06 13:12:00+01:00,71.68,71.68,71.68,71.68,0,0,0
2020-01-07 09:04:00+01:00,71.45,71.45,71.45,71.45,0,0,0
2020-01-07 13:12:00+01:00,71.66,71.66,71.66,71.66,0,0,0
2020-01-08 09:04:00+01:00,71.78,71.78,71.78,71.78,0,0,0
2020-01-08 10:31:00+01:00,71.83,71.83,71.83,71.83,407,0,0
2020-01-08 13:12:00+01:00,71.69,71.69,71.69,71.69,0,0,0
2020-01-09 09:04:00+01:00,71.34,71.34,71.34,71.34,0,0,0
2020-01-09 13:12:00+01:00,71.09,71.09,71.09,71.09,0,0,0
2020-01-10 09:04:00+01:00,71.2,71.2,71.2,71.2,0,0,0
2020-01-10 10:51:00+01:00,71.27,71.27,71.27,71.27,700,0,0
2020-01-10 13:12:00+01:00,71.43,71.43,71.43,71.43,0,0,0
2020-01-13 09:04:00+01:00,71.3,71.3,71.3,71.3,0,0,0
2020-01-13 10:08:00+01:00,71.03,71.03,71.03,71.03,9,0,0
2020-01-13 10:30:00+01:00,71.04,71.04,71.04,71.04,700,0,0
2020-01-13 10:32:00+01:00,70.87,70.87,70.87,70.87,31,0,0
2020-01-13 13:12:00+01:00,71.06,71.06,71.06,71.06,0,0,0
