Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,Adj Close
2019-12-13 11:00:00-05:00,316.54,316.62,316.4,316.54,0.0,0.0,0.0,
2019-12-13 11:01:00-05:00,316.53,316.77,316.47,316.65,269778.0,0.0,0.0,
2019-12-13 11:02:00-05:00,316.65,316.67,316.49,316.53,88322.0,0.0,0.0,
2019-12-13 11:04:00-05:00,316.55,316.56,316.53,316.55,389765.0,0.0,0.0,
2019-12-13 11:05:00-05:00,316.73,316.78,316.71,316.78,318427.0,0.0,0.0,
2019-12-13 11:06:00-05:00,316.79,316.88,316.74,316.81,163617.0,0.0,0.0,
2019-12-13 11:07:00-05:00,316.82,316.82,316.68,316.73,135227.0,0.0,0.0,
2019-12-13 11:08:00-05:00,316.73,316.85,316.72,316.8,108071.0,0.0,0.0,
2019-12-13 11:09:00-05:00,316.8,316.92,316.78,316.91,66400.0,0.0,0.0,
2019-12-13 11:10:00-05:00,316.92,317.16,316.91,317.03,376182.0,0.0,0.0,
2019-12-13 11:11:00-05:00,317.03,317.03,316.89,316.91,251222.0,0.0,0.0,
2019-12-13 11:12:00-05:00,316.91,316.93,316.77,316.78,76654.0,0.0,0.0,
2019-12-13 11:13:00-05:00,316.78,316.89,316.71,316.88,219583.0,0.0,0.0,
2019-12-13 11:14:00-05:00,316.88,316.89,316.73,316.78,115214.0,0.0,0.0,
2019-12-13 11:15:00-05:00,316.78,316.79,316.65,316.65,117842.0,0.0,0.0,
2019-12-13 11:16:00-05:00,316.65,316.68,316.58,316.6,143134.0,0.0,0.0,
2019-12-13 11:17:00-05:00,316.6,316.65,316.55,316.6,194367.0,0.0,0.0,
2019-12-13 11:18:00-05:00,316.6,316.61,316.49,316.56,92018.0,0.0,0.0,
2019-12-13 11:19:00-05:00,316.57,316.58,316.42,316.42,569382.0,0.0,0.0,
2019-12-13 11:20:00-05:00,316.42,316.49,316.3,316.3,192141.0,0.0,0.0,
2019-12-13 11:21:00-05:00,316.3,316.3,316.11,316.2,311768.0,0.0,0.0,
2019-12-13 11:22:00-05:00,316.22,316.33,316.2,316.26,191624.0,0.0,0.0,
2019-12-13 11:23:00-05:00,316.25,316.41,316.24,316.39,82230.0,0.0,0.0,
2019-12-13 11:24:00-05:00,316.39,316.42,316.18,316.23,119957.0,0.0,0.0,
2019-12-13 11:25:00-05:00,316.22,316.22,316.12,316.17,131243.0,0.0,0.0,
2019-12-13 11:26:00-05:00,316.16,316.25,316.07,316.09,117747.0,0.0,0.0,
2019-12-13 11:27:00-05:00,316.09,316.18,316.08,316.15,215899.0,0.0,0.0,
2019-12-13 11:28:00-05:00,316.15,316.17,316.02,316.07,173319.0,0.0,0.0,
2019-12-13 11:29:00-05:00,316.07,316.15,316.02,316.11,171456.0,0.0,0.0,
2019-12-13 11:30:00-05:00,316.1,316.28,316.05,316.26,169425.0,0.0,0.0,
2019-12-13 11:31:00-05:00,316.26,316.38,316.25,316.34,135624.0,0.0,0.0,
2019-12-13 11:32:00-05:00,316.34,316.36,316.23,316.27,103790.0,0.0,0.0,
